"type";"nano"
"SHM";324000
"SHM";810000
"SHM";376000
"SHM";372000
"SHM";333000
"SHM";370000
"SHM";322000
"SHM";413000
"SHM";299000
"SHM";351000
"SHM";301000
"SHM";394000
"SHM";272000
"SHM";333000
"SHM";313000
"SHM";363000
"SHM";339000
"SHM";306000
"SHM";531000
"SHM";794000
"SHM";342000
"SHM";369000
"SHM";760000
"SHM";347000
"SHM";334000
"SHM";936000
"SHM";316000
"SHM";5223000
"SHM";355000
"SHM";552000
"SHM";321000
"SHM";435000
"SHM";371000
"SHM";354000
"SHM";361000
"SHM";478000
"SHM";415000
"SHM";344000
"SHM";322000
"SHM";353000
"SHM";321000
"SHM";362000
"SHM";322000
"SHM";344000
"SHM";360000
"SHM";629000
"SHM";510000
"SHM";350000
"SHM";509000
"SHM";12893000
"SHM";1284000
"SHM";550000
"SHM";1409000
"SHM";365000
"SHM";335000
"SHM";369000
"SHM";331000
"SHM";318000
"SHM";648000
"SHM";344000
"SHM";328000
"SHM";462000
"SHM";623000
"SHM";705000
"SHM";328000
"SHM";389000
"SHM";2008000
"SHM";533000
"SHM";338000
"SHM";28267000
"SHM";7519000
"SHM";497000
"SHM";318000
"SHM";48254000
"SHM";336000
"SHM";337000
"SHM";542000
"SHM";2812000
"SHM";863000
"SHM";408000
"SHM";12161000
"SHM";372000
"SHM";333000
"SHM";550000
"SHM";457000
"SHM";347000
"SHM";372000
"SHM";316000
"SHM";340000
"SHM";609000
"SHM";328000
"SHM";652000
"SHM";330000
"SHM";323000
"SHM";379000
"SHM";354000
"SHM";1502000
"SHM";323000
"SHM";349000
"SHM";362000
"SHM";332000
"SHM";332000
"SHM";347000
"SHM";2819000
"SHM";1682000
"SHM";339000
"SHM";635000
"SHM";335000
"SHM";436000
"SHM";316000
"SHM";351000
"SHM";326000
"SHM";319000
"SHM";331000
"SHM";348000
"SHM";357000
"SHM";325000
"SHM";1577000
"SHM";336000
"SHM";933000
"SHM";351000
"SHM";447000
"SHM";1070000
"SHM";1436000
"SHM";397000
"SHM";8915000
"SHM";737000
"SHM";13788000
"SHM";319000
"SHM";483000
"SHM";416000
"SHM";427000
"SHM";322000
"SHM";327000
"SHM";613000
"SHM";357000
"SHM";4464000
"SHM";334000
"SHM";332000
"SHM";352000
"SHM";866000
"SHM";333000
"SHM";330000
"SHM";339000
"SHM";319000
"SHM";457000
"SHM";321000
"SHM";320000
"SHM";561000
"SHM";365000
"SHM";319000
"SHM";2131000
"SHM";374000
"SHM";1731000
"SHM";544000
"SHM";336000
"SHM";653000
"SHM";325000
"SHM";372000
"SHM";338000
"SHM";313000
"SHM";349000
"SHM";403000
"SHM";1706000
"SHM";308000
"SHM";333000
"SHM";320000
"SHM";312000
"SHM";326000
"SHM";310000
"SHM";349000
"SHM";359000
"SHM";313000
"SHM";1022000
"SHM";341000
"SHM";318000
"SHM";341000
"SHM";383000
"SHM";330000
"SHM";560000
"SHM";320000
"SHM";352000
"SHM";423000
"SHM";356000
"SHM";312000
"SHM";333000
"SHM";319000
"SHM";331000
"SHM";423000
"SHM";335000
"SHM";1106000
"SHM";368000
"SHM";334000
"SHM";312000
"SHM";355000
"SHM";332000
"SHM";315000
