"type";"nano"
"TCP";2650000
"TCP";2660000
"TCP";2714000
"TCP";2454000
"TCP";2652000
"TCP";2621000
"TCP";2464000
"TCP";2468000
"TCP";3214000
"TCP";2721000
"TCP";3077000
"TCP";2591000
"TCP";2532000
"TCP";3070000
"TCP";2597000
"TCP";2643000
"TCP";2980000
"TCP";2862000
"TCP";2654000
"TCP";2832000
"TCP";4279000
"TCP";2795000
"TCP";4365000
"TCP";2761000
"TCP";3686000
"TCP";2473000
"TCP";2806000
"TCP";4663000
"TCP";3582000
"TCP";2591000
"TCP";3347000
"TCP";2874000
"TCP";2773000
"TCP";2485000
"TCP";2975000
"TCP";2616000
"TCP";2499000
"TCP";2748000
"TCP";2625000
"TCP";3782000
"TCP";5167000
"TCP";2537000
"TCP";2623000
"TCP";2487000
"TCP";2748000
"TCP";3066000
"TCP";3327000
"TCP";4522000
"TCP";2666000
"TCP";3009000
"TCP";2636000
"TCP";2497000
"TCP";4033000
"TCP";3190000
"TCP";2453000
"TCP";3004000
"TCP";2479000
"TCP";2600000
"TCP";3032000
"TCP";4009000
"TCP";2464000
"TCP";2685000
"TCP";2810000
"TCP";4371000
"TCP";4537000
"TCP";4994000
"TCP";3070000
"TCP";13048000
"TCP";2620000
"TCP";4060000
"TCP";2457000
"TCP";2676000
"TCP";2764000
"TCP";3133000
"TCP";2481000
"TCP";2622000
"TCP";6795000
"TCP";2989000
"TCP";3233000
"TCP";2964000
"TCP";2442000
"TCP";2845000
"TCP";2596000
"TCP";2445000
"TCP";5148000
"TCP";3737000
"TCP";2955000
"TCP";2485000
"TCP";12352000
"TCP";2937000
"TCP";3304000
"TCP";2492000
"TCP";3486000
"TCP";2636000
"TCP";4420000
"TCP";2584000
"TCP";3161000
"TCP";2430000
"TCP";2677000
"TCP";2712000
"TCP";3753000
"TCP";2762000
"TCP";3609000
"TCP";2933000
"TCP";2450000
"TCP";2673000
"TCP";2491000
"TCP";2804000
"TCP";2914000
"TCP";2882000
"TCP";2563000
"TCP";2845000
"TCP";2777000
"TCP";3318000
"TCP";2751000
"TCP";2608000
"TCP";3099000
"TCP";2881000
"TCP";2612000
"TCP";3196000
"TCP";2580000
"TCP";3013000
"TCP";2672000
"TCP";2763000
"TCP";2592000
"TCP";2586000
"TCP";3196000
"TCP";2624000
"TCP";2572000
"TCP";4422000
"TCP";2600000
"TCP";2586000
"TCP";4618000
"TCP";2464000
"TCP";3932000
"TCP";2769000
"TCP";3495000
"TCP";3282000
"TCP";2687000
"TCP";2651000
"TCP";2551000
"TCP";3263000
"TCP";4221000
"TCP";2738000
"TCP";2472000
"TCP";2485000
"TCP";2563000
"TCP";3177000
"TCP";2897000
"TCP";2633000
"TCP";3213000
"TCP";2571000
"TCP";3260000
"TCP";3211000
"TCP";2517000
"TCP";2506000
"TCP";2821000
"TCP";2507000
"TCP";2717000
"TCP";2661000
"TCP";2691000
"TCP";3044000
"TCP";2518000
"TCP";2571000
"TCP";3088000
"TCP";2439000
"TCP";2938000
"TCP";2589000
"TCP";7088000
"TCP";2839000
"TCP";2465000
"TCP";4099000
"TCP";3136000
"TCP";4219000
"TCP";3145000
"TCP";2651000
"TCP";2606000
"TCP";2580000
"TCP";2783000
"TCP";2513000
"TCP";2884000
"TCP";4935000
"TCP";4164000
"TCP";2916000
"TCP";2445000
"TCP";2810000
"TCP";2449000
"TCP";3233000
"TCP";2482000
"TCP";3609000
"TCP";2424000
"TCP";2430000
"TCP";2668000
"TCP";3500000
"TCP";2666000
"TCP";2542000
"TCP";3132000
"TCP";2965000
"TCP";3091000
"TCP";2712000
"TCP";3001000
"TCP";3023000
"TCP";3205000
"TCP";7139000
"TCP";2396000
"TCP";2565000
"TCP";2706000
"TCP";2467000
"TCP";2952000
"TCP";2497000
"TCP";2449000
"TCP";2555000
"TCP";5745000
"TCP";2676000
"TCP";3032000
"TCP";2838000
"TCP";2468000
"TCP";2438000
"TCP";2541000
"TCP";2524000
"TCP";2668000
"TCP";2716000
"TCP";2437000
"TCP";2503000
"TCP";2487000
"TCP";2536000
"TCP";2634000
"TCP";3095000
"TCP";2625000
"TCP";2726000
"TCP";2697000
"TCP";2655000
"TCP";2596000
"TCP";2418000
"TCP";2572000
"TCP";2845000
"TCP";2429000
"TCP";4027000
"TCP";2596000
"TCP";3479000
"TCP";2511000
"TCP";3431000
"TCP";3149000
"TCP";4586000
"TCP";2469000
"TCP";2760000
"TCP";2666000
"TCP";2436000
"TCP";2546000
"TCP";2719000
"TCP";2434000
"TCP";3330000
"TCP";3177000
"TCP";3036000
"TCP";2566000
"TCP";4218000
"TCP";2489000
"TCP";3143000
"TCP";2591000
"TCP";2412000
"TCP";2665000
"TCP";2458000
"TCP";3002000
"TCP";2467000
"TCP";2650000
"TCP";2481000
"TCP";2493000
"TCP";2523000
"TCP";3043000
"TCP";4182000
"TCP";2445000
"TCP";2467000
"TCP";6146000
"TCP";2450000
"TCP";2789000
"TCP";2399000
"TCP";4132000
"TCP";4160000
"TCP";2682000
"TCP";3143000
"TCP";2446000
"TCP";2650000
"TCP";2697000
"TCP";2967000
"TCP";3106000
"TCP";2810000
"TCP";3551000
"TCP";3454000
"TCP";2592000
"TCP";2646000
"TCP";2819000
"TCP";3049000
"TCP";2674000
"TCP";2791000
"TCP";2694000
"TCP";3128000
"TCP";2606000
"TCP";2413000
"TCP";4962000
"TCP";2622000
"TCP";2478000
"TCP";2641000
"TCP";3757000
"TCP";3547000
"TCP";2567000
"TCP";2530000
"TCP";2829000
"TCP";2848000
"TCP";2827000
"TCP";3569000
"TCP";3054000
"TCP";7910000
"TCP";2903000
"TCP";2761000
"TCP";7174000
"TCP";2711000
"TCP";2540000
"TCP";4630000
"TCP";2568000
"TCP";2573000
"TCP";4040000
"TCP";6921000
"TCP";2550000
"TCP";2656000
"TCP";2573000
"TCP";2632000
"TCP";4016000
"TCP";2905000
"TCP";2542000
"TCP";2470000
"TCP";3776000
"TCP";2421000
"TCP";2835000
"TCP";2612000
"TCP";2827000
"TCP";3036000
"TCP";11138000
"TCP";2474000
"TCP";2611000
"TCP";2490000
"TCP";7650000
"TCP";2599000
"TCP";7976000
"TCP";2691000
"TCP";4173000
"TCP";2991000
"TCP";2825000
"TCP";2829000
"TCP";5248000
"TCP";2686000
"TCP";2647000
"TCP";2620000
"TCP";9862000
"TCP";2983000
"TCP";2607000
"TCP";2569000
"TCP";4100000
"TCP";2870000
"TCP";9746000
"TCP";2574000
"TCP";9889000
"TCP";2976000
"TCP";2522000
"TCP";2846000
"TCP";9324000
"TCP";2534000
"TCP";2730000
"TCP";2636000
"TCP";7869000
"TCP";2633000
"TCP";3037000
"TCP";3151000
"TCP";2490000
"TCP";2630000
"TCP";2434000
"TCP";2796000
"TCP";2608000
"TCP";2661000
"TCP";2588000
"TCP";2568000
"TCP";2417000
"TCP";2896000
"TCP";4761000
"TCP";11251000
"TCP";2608000
"TCP";2474000
"TCP";3493000
"TCP";11412000
"TCP";2635000
"TCP";3129000
"TCP";3758000
"TCP";3479000
"TCP";4380000
"TCP";2654000
"TCP";2565000
"TCP";2619000
"TCP";4162000
"TCP";2940000
"TCP";2545000
"TCP";2512000
"TCP";3038000
"TCP";3117000
"TCP";2632000
"TCP";3517000
"TCP";2699000
"TCP";2555000
"TCP";2950000
"TCP";2954000
"TCP";2527000
"TCP";7211000
"TCP";5335000
"TCP";2551000
"TCP";2846000
"TCP";2940000
"TCP";3158000
"TCP";5560000
"TCP";3341000
"TCP";3298000
"TCP";2581000
"TCP";5221000
"TCP";2747000
"TCP";2564000
"TCP";8225000
"TCP";2711000
"TCP";2536000
"TCP";4619000
"TCP";2563000
"TCP";2703000
"TCP";3097000
"TCP";2539000
"TCP";4156000
"TCP";2623000
"TCP";2568000
"TCP";3906000
"TCP";2674000
"TCP";4958000
"TCP";3134000
"TCP";3048000
"TCP";6325000
"TCP";2680000
"TCP";3928000
"TCP";6926000
"TCP";5669000
"TCP";3765000
"TCP";4501000
"TCP";3113000
"TCP";2738000
"TCP";2568000
"TCP";3036000
"TCP";2709000
"TCP";2592000
"TCP";3397000
"TCP";2594000
"TCP";3529000
"TCP";3427000
"TCP";2549000
"TCP";8587000
"TCP";2620000
"TCP";3064000
"TCP";3427000
"TCP";2723000
"TCP";3076000
"TCP";3627000
"TCP";2564000
"TCP";6382000
"TCP";3638000
"TCP";2525000
"TCP";3509000
"TCP";11773000
"TCP";8894000
"TCP";2584000
"TCP";3579000
"TCP";2604000
"TCP";2881000
"TCP";6926000
"TCP";2636000
"TCP";7629000
"TCP";2609000
"TCP";3214000
"TCP";5234000
"TCP";2612000
"TCP";3588000
"TCP";8682000
"TCP";4465000
"TCP";3731000
"TCP";6986000
"TCP";3411000
"TCP";6054000
"TCP";2758000
"TCP";3062000
"TCP";2621000
"TCP";2818000
"TCP";2604000
"TCP";2852000
"TCP";3180000
"TCP";2698000
"TCP";2880000
"TCP";3486000
"TCP";3506000
"TCP";2793000
"TCP";3729000
"TCP";4589000
"TCP";3126000
"TCP";3942000
"TCP";2794000
"TCP";4853000
"TCP";3202000
"TCP";3507000
"TCP";3507000
"TCP";4123000
"TCP";5193000
"TCP";2651000
"TCP";6668000
"TCP";9658000
"TCP";3168000
"TCP";3752000
"TCP";2930000
"TCP";5831000
"TCP";2592000
"TCP";2603000
"TCP";3699000
"TCP";5207000
"TCP";3409000
"TCP";2423000
"TCP";3332000
"TCP";2639000
"TCP";3159000
"TCP";2776000
"TCP";3966000
"TCP";6419000
"TCP";2563000
"TCP";2599000
"TCP";4352000
"TCP";2976000
"TCP";2683000
"TCP";2594000
"TCP";4274000
"TCP";4477000
"TCP";3839000
"TCP";2850000
"TCP";3501000
"TCP";2712000
"TCP";2582000
"TCP";2733000
"TCP";4054000
"TCP";2975000
"TCP";2604000
"TCP";2578000
"TCP";7642000
"TCP";2623000
"TCP";29820000
"TCP";11569000
"TCP";2592000
"TCP";4485000
"TCP";3383000
"TCP";3098000
"TCP";2710000
"TCP";2677000
"TCP";2696000
"TCP";5226000
"TCP";7460000
"TCP";4958000
"TCP";2596000
"TCP";5630000
"TCP";4481000
"TCP";2929000
"TCP";5018000
"TCP";2610000
"TCP";3353000
"TCP";2573000
"TCP";5733000
"TCP";2577000
"TCP";2784000
"TCP";2655000
"TCP";3401000
"TCP";3965000
"TCP";2645000
"TCP";2584000
"TCP";3195000
"TCP";2908000
"TCP";5359000
"TCP";3018000
"TCP";4933000
"TCP";2407000
"TCP";5452000
"TCP";3014000
"TCP";2646000
"TCP";3378000
"TCP";2768000
"TCP";3405000
"TCP";10357000
"TCP";3103000
"TCP";7933000
"TCP";2856000
"TCP";3069000
"TCP";2685000
"TCP";2777000
"TCP";2684000
"TCP";2598000
"TCP";2689000
"TCP";4065000
"TCP";2548000
"TCP";2762000
"TCP";2668000
"TCP";3633000
"TCP";2482000
"TCP";2611000
"TCP";2607000
"TCP";3823000
"TCP";4808000
"TCP";3803000
"TCP";4086000
"TCP";3852000
"TCP";3199000
"TCP";7916000
"TCP";3065000
"TCP";2806000
"TCP";4836000
"TCP";13525000
"TCP";5058000
"TCP";4643000
"TCP";2623000
"TCP";8101000
"TCP";3624000
"TCP";2643000
"TCP";2987000
"TCP";6976000
"TCP";3211000
"TCP";5221000
"TCP";2647000
"TCP";2694000
"TCP";2534000
"TCP";3671000
"TCP";2505000
"TCP";2831000
"TCP";3407000
"TCP";2620000
"TCP";3329000
"TCP";2615000
"TCP";3723000
"TCP";2799000
"TCP";3628000
"TCP";2948000
"TCP";15610000
"TCP";3340000
"TCP";2874000
"TCP";2473000
"TCP";5217000
"TCP";3770000
"TCP";3575000
"TCP";4397000
"TCP";2672000
"TCP";4249000
"TCP";3933000
"TCP";3045000
